rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,dataRate
407457,1,1,0,3,19.8684,4.29628e-05,0.898928,104.177,1638465232,2044717648,1072294,1338166,1.00702,1.00702,121,121,46.0688,963916,130
407457,1,1,0,2,25.6731,5.47494e-05,0.927279,104.061,1636692752,2202020664,1071134,1441113,1.00279,1.00279,121,121,58.6439,993240,140
407457,1,1,0,3,25.5905,5.45106e-05,0.926389,104.18,1638512600,2202020664,1072325,1441113,1.00704,1.00704,121,121,58.453,993390,140
407457,1,1,0,1,29.9774,6.33804e-05,0.903538,105.045,1652041512,2359299232,1081179,1544044,1.01267,1.01267,121,121,68.5255,976886,150
407458,1,1,0,1,0.00194294,3.80886e-05,0.000188979,10.0004,157284680,157287736,102935,102937,1.00575,1.00575,121,121,3.92061,19.4525,10
407457,1,1,0,2,30.6288,6.53539e-05,0.908231,104.059,1636674416,2359299232,1071122,1544044,1.00279,1.00279,121,121,70.002,972827,150
407457,1,1,0,3,30.5522,6.50817e-05,0.907841,104.178,1638482040,2359299232,1072305,1544044,1.00698,1.00698,121,121,69.7873,973483,150
407458,1,1,0,2,0.00485734,8.05691e-06,0.00031305,10.0003,157280096,157287736,102932,102937,1.00794,1.00794,120.999,120.999,0.829306,32.2228,10
407458,1,1,0,1,0.00388589,2.35439e-05,0.000192936,20.0003,314561720,314573944,205865,205873,1.00575,1.00575,120.999,120.999,4.84683,39.7188,20
407458,1,1,0,3,0.0029144,5.83235e-06,0.000312842,10.0004,157283152,157287736,102934,102937,1.00598,1.00598,120.999,120.999,0.600341,32.202,10
407458,1,1,0,1,0.0038859,1.7003e-05,0.000198661,30.0004,471841816,471860152,308797,308809,1.00575,1.00575,121,121,5.25045,61.346,30
407458,1,1,0,2,0.00582884,4.99869e-05,0.000292353,20.0003,314555608,314573944,205861,205873,1.00794,1.00794,121,121,10.2903,60.1841,20
407458,1,1,0,3,0.00388589,1.39785e-05,0.000306645,20.0004,314561720,314573944,205865,205873,1.00598,1.00598,121,121,2.87767,63.1275,20
407458,1,1,0,1,0.00412877,6.21854e-05,0.000389328,40.0004,629120384,629146360,411728,411745,1.00575,1.00575,121,121,25.6034,160.297,40
407458,1,1,0,2,0.00615267,0.0001018,0.000582533,30.0003,471831120,471860152,308790,308809,1.00794,1.00794,121,121,31.4347,179.88,30
407458,1,1,0,3,0.00420972,0.000102334,0.000578178,30.0003,471840288,471860152,308796,308809,1.00598,1.00598,121,121,31.6002,178.539,30
407458,1,1,0,1,0.00446878,0.00010515,0.00041836,50.0003,786398952,786434096,514659,514682,1.00575,1.00575,121,121,54.1165,215.313,50
407458,1,1,0,2,0.00631459,0.000170596,0.000587366,40.0002,629106632,629146360,411719,411745,1.00794,1.00794,121,121,70.2376,241.83,40
407458,1,1,0,3,0.00461451,0.000172943,0.000578957,40.0003,629117328,629146360,411726,411745,1.00598,1.00598,121,121,71.205,238.372,40
407458,1,1,0,1,0.00469546,0.000103476,0.00053277,60.0002,943675992,943720304,617589,617618,1.00575,1.00575,121,121,63.9053,329.033,60
407458,1,1,0,2,0.00641173,0.000159431,0.000697679,50.0003,786383672,786434096,514649,514682,1.00794,1.00794,121,121,82.0506,359.06,50
407458,1,1,0,3,0.00485737,0.00016069,0.000689716,50.0003,786395896,786434096,514657,514682,1.00598,1.00598,121,121,82.7002,354.967,50
407458,1,1,0,1,0.00457982,8.71219e-05,0.000662393,70.0002,1100953032,1101003456,720519,720552,1.00575,1.00575,121,121,62.7729,477.266,70
407458,1,1,0,2,0.00680032,0.000132396,0.000817064,60.0001,943656128,943720304,617576,617618,1.00794,1.00794,121,121,81.7643,504.599,60
407458,1,1,0,3,0.00469546,0.000132859,0.000802014,60.0003,943675992,943720304,617589,617618,1.00598,1.00598,121,121,82.0519,495.315,60
407458,1,1,0,1,0.0049788,6.54642e-05,0.000888109,80.0003,1258233128,1258295776,823451,823492,1.00575,1.00575,121,121,53.9065,731.314,80
407458,1,1,0,2,0.00680034,0.000101326,0.00101003,69.9998,1100928584,1101003456,720503,720552,1.00794,1.00794,121,121,73.0057,727.731,70
407458,1,1,0,3,0.00513495,0.000102174,0.000994918,70,1100946920,1101003456,720515,720552,1.00598,1.00598,121,121,73.6182,716.853,70
407458,1,1,0,1,0.00528914,4.3809e-05,0.00132428,89.9998,1415505584,1415580456,926378,926427,1.00575,1.00575,121,121,40.5836,1226.78,90
407458,1,1,0,2,0.00704318,7.23311e-05,0.00131876,80,1258207152,1258295776,823434,823492,1.00794,1.00794,121,121,59.5598,1085.91,80
407458,1,1,0,3,0.0053431,7.2405e-05,0.00130079,80,1258228544,1258295776,823448,823492,1.00598,1.00598,121,121,59.6217,1071.13,80
407458,1,1,0,1,0.00621744,2.43377e-05,0.0024829,99.9988,1572768872,1572866664,1029299,1029363,1.00575,1.00575,121,121,25.0507,2555.65,100
407458,1,1,0,2,0.00755591,4.75228e-05,0.00185701,89.9994,1415473496,1415580456,926357,926427,1.00794,1.00794,121,121,44.023,1720.25,90
407458,1,1,0,3,0.00604473,4.75329e-05,0.00182555,89.9995,1415494888,1415580456,926371,926427,1.00598,1.00598,121,121,44.033,1691.14,90
407458,1,1,0,2,0.00893757,2.49949e-05,0.0032678,99.9979,1572726088,1572866664,1029271,1029363,1.00794,1.00794,121,121,25.7265,3363.46,100
407458,1,1,0,1,4.50711,1.51409e-05,0.143824,105.047,1652174448,1730154400,1081266,1132300,1.00575,1.00575,121,121,16.3713,155512,110
407458,1,1,0,2,5.40837,1.73525e-05,0.184953,104.058,1636581208,1730154400,1071061,1132300,1.00794,1.00794,121,121,18.5856,198095,110
407458,1,1,0,3,0.00728606,2.51993e-05,0.00327811,99.9979,1572752064,1572866664,1029288,1029363,1.00598,1.00598,121,121,25.9373,3374.12,100
407458,1,1,0,1,12.4619,2.65035e-05,0.804749,105.05,1652220288,1887429912,1081296,1235229,1.00575,1.00575,121,121,28.6581,870171,120
407458,1,1,0,3,5.29948,1.7002e-05,0.177241,104.176,1638465232,1730154400,1072294,1132300,1.00598,1.00598,121,121,18.2311,190054,110
407458,1,1,0,2,13.2877,2.83907e-05,0.825754,104.061,1636633160,1887429912,1071095,1235229,1.00794,1.00794,121,121,30.4091,884460,120
407458,1,1,0,1,19.2013,4.14391e-05,0.874471,105.043,1652105688,2044717648,1081221,1338166,1.00575,1.00575,121,121,44.8048,945497,130
407458,1,1,0,3,13.1887,2.81594e-05,0.824225,104.178,1638501904,1887429912,1072318,1235229,1.00598,1.00598,121,121,30.1958,883831,120
407458,1,1,0,2,19.96,4.31934e-05,0.901388,104.059,1636591904,2044717648,1071068,1338166,1.00794,1.00794,121,121,46.263,965448,130
407458,1,1,0,1,24.9679,5.27913e-05,0.920473,105.051,1652223344,2202020664,1081298,1441113,1.00575,1.00575,121,121,57.0831,995305,140
407458,1,1,0,3,19.87,4.29768e-05,0.898696,104.174,1638431616,2044717648,1072272,1338166,1.00598,1.00598,121,121,46.0827,963647,130
407458,1,1,0,2,25.6772,5.47528e-05,0.927291,104.059,1636604128,2202020664,1071076,1441113,1.00794,1.00794,121,121,58.6443,993199,140
407458,1,1,0,3,25.5943,5.45236e-05,0.926689,104.174,1638428560,2202020664,1072270,1441113,1.00598,1.00598,121,121,58.4639,993661,140
407458,1,1,0,1,29.9745,6.33835e-05,0.903707,105.043,1652110272,2359299232,1081224,1544044,1.00575,1.00575,121,121,68.5317,977110,150
407458,1,1,0,2,30.631,6.53455e-05,0.908519,104.061,1636622464,2359299232,1071088,1544044,1.00794,1.00794,121,121,69.9907,973104,150
407458,1,1,0,3,30.554,6.50855e-05,0.908011,104.174,1638439256,2359299232,1072277,1544044,1.00598,1.00598,121,121,69.7896,973639,150
