rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum
407456,2,5,1,3,20.2976,0.00092287,0.852338,21.1176,316642856,397281528,207227,260001,1.04566,1.04566,121,121,191.243,176627
407456,3,5,1,3,20.1738,0.000919166,0.675369,21.1461,317134872,397281528,207549,260001,1.01666,1.01666,120.995,120.995,190.771,140172
407456,4,5,1,3,18.6288,0.000893401,0.704077,21.5567,323272848,397281528,211566,260001,1.02063,1.02063,120.992,120.992,189.012,148959
407456,5,5,1,3,19.8976,0.000918402,0.70534,21.3152,318231976,397281528,208267,260001,1.00857,1.00857,120.447,120.447,191.272,146899
407456,1,6,1,2,22.6726,0.00110543,0.555607,17.0866,256005704,331067176,167543,216667,1.04942,1.04942,120.912,120.912,185.206,93088.1
407456,2,6,1,2,26.0012,0.00115304,0.709349,16.3463,244985768,331067176,160331,216667,1.06617,1.06617,120.964,120.964,184.866,113731
407456,3,6,1,2,24.4781,0.0011484,0.676609,16.7075,250028168,331067176,163631,216667,1.02058,1.02058,120.74,120.74,187.913,110714
407456,4,6,1,2,24.0447,0.00112283,0.639442,16.7847,251462960,331067176,164570,216667,1.01712,1.01712,120.871,120.871,184.783,105233
407456,5,6,1,2,21.1274,0.00109816,0.554412,17.4107,261121448,331067176,170891,216667,1.01769,1.01769,121,121,187.665,94744.1
407456,6,6,1,2,23.7097,0.00112449,0.612114,16.8459,252572288,331067176,165296,216667,1.0302,1.0302,120.975,120.975,185.873,101180
407456,1,8,1,1,33.7526,0.00149216,0.515599,10.9906,164492256,248300000,107652,162500,1.07176,1.07176,120.805,120.805,160.633,55505.2
407456,2,8,1,1,26.8695,0.00143258,0.463941,12.1112,181582936,248300000,118837,162500,1.04106,1.04106,120.985,120.985,170.242,55133.4
407456,3,8,1,1,26.6375,0.00142802,0.49949,12.1524,182158992,248300000,119214,162500,1.02726,1.02726,120.944,120.944,170.238,59546.2
407456,4,8,1,1,30.2197,0.00147841,0.514798,11.5529,173264504,248300000,113393,162500,1.02,1.02,121,121,167.64,58374.4
407456,5,8,1,1,28.7188,0.00145809,0.504723,11.811,176991296,248300000,115832,162500,1.0445,1.0445,120.927,120.927,168.892,58463
407456,6,8,1,1,27.9465,0.0014199,0.495409,11.9356,178908936,248300000,117087,162500,1.08048,1.08048,120.996,120.996,166.251,58006
407456,7,8,1,1,27.4763,0.00143457,0.489852,12.023,180076328,248300000,117851,162500,1.04166,1.04166,120.863,120.863,169.064,57729.6
407456,8,8,1,1,28.2338,0.00143638,0.4897,11.8855,178195360,248300000,116620,162500,1.02078,1.02078,120.963,120.963,167.509,57108.9
407456,1,6,1,3,21.564,0.00109336,0.569339,17.3211,259675960,331067176,169945,216667,1.06185,1.06185,120.997,120.997,185.81,96756.3
407456,2,6,1,3,22.607,0.00111558,0.664147,17.09,256222680,331067176,167685,216667,1.04948,1.04948,120.99,120.99,187.066,111368
407456,3,6,1,3,27.0281,0.00116974,0.654732,16.1085,241585968,331067176,158106,216667,1.02052,1.02052,121,121,184.942,103517
407456,4,6,1,3,22.4575,0.00112018,0.636588,17.1365,256717752,331067176,168009,216667,1.01343,1.01343,120.86,120.86,188.199,106953
407456,5,6,1,3,22.8027,0.00111605,0.595828,17.0468,255574808,331067176,167261,216667,1.01903,1.01903,120.959,120.959,186.671,99658.7
407456,6,6,1,3,25.067,0.00112498,0.645117,16.5514,248078440,331067176,162355,216667,1.01982,1.01982,120.927,120.927,182.645,104738
407456,1,7,1,2,25.8008,0.00128561,0.521348,14.0446,210556872,283772520,137799,185715,1.03067,1.03067,120.967,120.967,177.154,71841.3
407456,2,7,1,2,26.3845,0.00128818,0.516749,13.9426,208900520,283772520,136715,185715,1.06327,1.06327,120.926,120.926,176.112,70647.3
407456,3,7,1,2,25.9107,0.0012796,0.543496,14.0227,210245160,283772520,137595,185715,1.0097,1.0097,120.955,120.955,176.065,74782.3
407456,4,7,1,2,28.3359,0.00130367,0.581642,13.5606,203363048,283772520,133091,185715,1.02005,1.02005,120.993,120.993,173.506,77411.4
407456,5,7,1,2,26.8934,0.00129795,0.558645,13.8354,207456560,283772520,135770,185715,1.04294,1.04294,121,121,176.221,75847.2
407456,6,7,1,2,25.8428,0.00128773,0.55211,14.034,210437688,283772520,137721,185715,1.01912,1.01912,120.978,120.978,177.345,76037.2
407456,7,7,1,2,29.0924,0.00132684,0.565275,13.4186,201216208,283772520,131686,185715,1.02252,1.02252,120.985,120.985,174.726,74438.8
407456,1,9,1,1,29.7608,0.00155662,0.446618,10.3518,155026296,220711960,101457,144445,1.10061,1.10061,120.907,120.907,157.928,45312.5
407456,2,9,1,1,31.4002,0.00158023,0.486433,10.0991,151407992,220711960,99089,144445,1.06234,1.06234,121,121,156.582,48200.1
407456,3,9,1,1,32.1666,0.00157983,0.458466,10.002,149716496,220711960,97982,144445,1.2203,1.2203,120.97,120.97,154.793,44921.4
407456,4,9,1,1,30.7134,0.00158595,0.446346,10.1971,152923768,220711960,100081,144445,1.02205,1.02205,120.997,120.997,158.722,44670.7
407456,5,9,1,1,31.8765,0.00158728,0.472845,10.0433,150356728,220711960,98401,144445,1.03179,1.03179,120.798,120.798,156.188,46528.4
407456,6,9,1,1,32.9558,0.00159931,0.477129,9.86893,147974576,220711960,96842,144445,1.03667,1.03667,120.989,120.989,154.879,46206.1
407456,7,9,1,1,33.1739,0.00159616,0.468721,9.85144,147493256,220711960,96527,144445,1.0281,1.0281,120.802,120.802,154.071,45244.3
407456,8,9,1,1,29.479,0.0015606,0.451928,10.3909,155648192,220711960,101864,144445,1.05704,1.05704,120.892,120.892,158.967,46035.2
407456,9,9,1,1,34.087,0.00161566,0.478686,9.70742,145477824,220711960,95208,144445,1.06507,1.06507,120.955,120.955,153.822,45574.7
407456,1,7,1,3,28.8189,0.00130764,0.545067,13.4913,201992432,283772520,132194,185715,1.03078,1.03078,120.807,120.807,172.861,72054.7
