rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum
407456,2,8,1,1,1.38092,0.00128962,0.0532911,16.3362,244871168,248300000,160256,162500,1.06136,1.06136,120.977,120.977,206.668,8540.21
407456,3,8,1,1,1.35138,0.0012894,0.0533146,16.3339,244944512,248300000,160304,162500,1.01593,1.01593,120.985,120.985,206.694,8546.55
407456,4,8,1,1,1.36246,0.00129001,0.0529758,16.3353,244917008,248300000,160286,162500,1.036,1.036,120.981,120.981,206.769,8491.27
407456,5,8,1,1,1.36246,0.00129143,0.0525602,16.3354,244917008,248300000,160286,162500,1.04816,1.04816,120.992,120.992,206.997,8424.66
407456,6,8,1,1,1.36,0.00129157,0.051678,16.336,244923120,248300000,160290,162500,1.05294,1.05294,120.996,120.996,207.024,8283.46
407456,7,8,1,1,1.36677,0.00129169,0.0508414,16.3314,244906312,248300000,160279,162500,1.03165,1.03165,121,121,207.03,8148.8
407456,8,8,1,1,2.17723,0.00129781,0.0506696,16.3328,242893936,248300000,158962,162500,2.02706,2.02706,121,121,206.301,8054.54
407456,1,7,1,2,0.0419998,0.000828447,0.00264851,18.9169,283653336,283772520,185637,185715,1.04154,1.04154,120.999,120.999,153.79,491.661
407456,2,7,1,2,0.0393075,0.000829505,0.00263074,18.916,283660976,283772520,185642,185715,1.03151,1.03151,120.998,120.998,153.99,488.375
407456,3,7,1,2,0.0360768,0.000830007,0.00265238,18.9155,283670144,283772520,185648,185715,1.02429,1.02429,120.998,120.998,154.088,492.408
407456,4,7,1,2,0.0344614,0.000828558,0.00266106,18.9151,283674728,283772520,185651,185715,1.02144,1.02144,121,121,153.822,494.028
407456,5,7,1,2,0.0296153,0.000827215,0.00269598,18.9141,283688480,283772520,185660,185715,1.00954,1.00954,121,121,153.58,500.535
