rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario
407456,2,1,11,2,22.5504,0.000114714,1.05283,82.8726,1303445120,1682959064,853040,1101413,1.00262,1.00262,121,121,97.8552,898104,ns3::ThompsonSamplingWifiManager,D
407456,1,1,13,1,62.0625,0.000351643,1.79017,40.644,638473272,1682959064,417849,1101413,1.14642,1.14642,120.996,120.996,146.933,748020,ns3::ThompsonSamplingWifiManager,B
407456,2,1,13,1,62.9375,0.000365144,1.81505,39.6578,623746408,1682959064,408211,1101413,1.00325,1.00325,121,121,149.055,740924,ns3::ThompsonSamplingWifiManager,B
407456,1,1,11,3,16.168,4.66398e-05,0.954841,89.7047,1410858936,1682959064,923337,1101413,1.00619,1.00619,121,121,43.0642,881640,ns3::ThompsonSamplingWifiManager,E
407456,2,1,11,3,20.2615,5.29615e-05,1.01257,85.3297,1341966000,1682959064,878250,1101413,1.01378,1.01378,121,121,46.5134,889290,ns3::ThompsonSamplingWifiManager,E
407456,1,1,13,2,7.62021,3.48198e-05,0.343694,98.8546,1554714024,1682959064,1017483,1101413,1.01032,1.01032,121,121,35.4285,349703,ns3::ThompsonSamplingWifiManager,D
407456,2,1,13,2,22.5775,0.000113527,1.04108,82.8442,1302988248,1682959064,852741,1101413,1.00351,1.00351,121,121,96.809,887773,ns3::ThompsonSamplingWifiManager,D
407456,1,1,15,1,62.7436,0.000364204,1.80881,39.913,627010216,1682959064,410347,1101413,1.14642,1.14642,121,121,149.45,742238,ns3::ThompsonSamplingWifiManager,B
407456,2,1,15,1,62.7546,0.000365455,1.81057,39.8547,626825328,1682959064,410226,1101413,1.00325,1.00325,120.996,120.996,149.919,742744,ns3::ThompsonSamplingWifiManager,B
407456,1,1,13,3,16.2483,4.8105e-05,0.95543,89.6224,1409506656,1682959064,922452,1101413,1.01113,1.01113,121,121,44.3745,881339,ns3::ThompsonSamplingWifiManager,E
407456,2,1,13,3,20.3145,5.25397e-05,1.00748,85.2907,1341073648,1682959064,877666,1101413,1.03861,1.03861,121,121,46.1123,884231,ns3::ThompsonSamplingWifiManager,E
407456,1,1,17,1,64.5057,0.000486202,1.87246,38.0253,597354792,1682959064,390939,1101413,1.14681,1.14681,121,121,190.075,732017,ns3::ThompsonSamplingWifiManager,B
407456,2,1,17,1,65.3246,0.000496828,1.90175,37.1047,583572232,1682959064,381919,1101413,1.00325,1.00325,120.996,120.996,189.747,726315,ns3::ThompsonSamplingWifiManager,B
407456,1,1,15,2,16.3057,0.000143699,0.955932,89.562,1408540960,1682959064,921820,1101413,1.0112,1.0112,120.999,120.999,132.465,881197,ns3::ThompsonSamplingWifiManager,D
407456,2,1,15,2,22.629,0.000115872,1.04512,82.7892,1302121872,1682959064,852174,1101413,1.00351,1.00351,121,121,98.7432,890622,ns3::ThompsonSamplingWifiManager,D
407456,1,1,15,3,20.7615,0.000154242,1.01917,84.7928,1333551304,1682959064,872743,1101413,1.01113,1.01113,121,121,134.614,889476,ns3::ThompsonSamplingWifiManager,E
407456,2,1,15,3,20.2581,5.57464e-05,1.00702,85.3511,1342024064,1682959064,878288,1101413,1.03861,1.03861,121,121,48.9613,884457,ns3::ThompsonSamplingWifiManager,E
407456,1,1,17,2,20.3593,0.000179979,1.01077,85.2244,1340320344,1682959064,877173,1101413,1.01089,1.01089,120.998,120.998,157.873,886617,ns3::ThompsonSamplingWifiManager,D
407456,2,1,17,2,26.7464,0.000219475,1.17276,78.3848,1232828600,1682959064,806825,1101413,1.00351,1.00351,120.998,120.998,177.077,946216,ns3::ThompsonSamplingWifiManager,D
407456,1,1,19,1,67.8828,0.000565248,2.01078,34.3905,540519304,1682959064,353743,1101413,1.08682,1.08682,120.999,120.999,199.952,711298,ns3::ThompsonSamplingWifiManager,B
407456,2,1,19,1,68.7226,0.000578082,2.03462,33.4688,526385304,1682959064,344493,1101413,1.00755,1.00755,121,121,199.145,700913,ns3::ThompsonSamplingWifiManager,B
407456,1,1,17,3,28.0487,0.000203126,1.20105,76.995,1210910968,1682959064,792481,1101413,1.01139,1.01139,121,121,160.974,951806,ns3::ThompsonSamplingWifiManager,E
407456,2,1,17,3,24.8962,0.00020171,1.13219,80.3692,1263966184,1682959064,827203,1101413,1.0125,1.0125,121,121,166.855,936547,ns3::ThompsonSamplingWifiManager,E
407456,1,1,21,1,72.0434,0.000549784,2.17463,29.9275,470498704,1682959064,307918,1101413,1.05603,1.05603,121,121,169.288,669607,ns3::ThompsonSamplingWifiManager,B
407456,2,1,21,1,72.6249,0.000566534,2.20224,29.2976,460711864,1682959064,301513,1101413,1.02235,1.02235,120.996,120.996,170.817,664005,ns3::ThompsonSamplingWifiManager,B
407456,1,1,19,2,24.8983,7.60739e-05,1.12845,80.3665,1263931040,1682959064,827180,1101413,1.01181,1.01181,121,121,62.9268,933430,ns3::ThompsonSamplingWifiManager,D
407456,2,1,19,2,33.8679,0.000244522,1.27471,70.7633,1112976864,1682959064,728388,1101413,1.00351,1.00351,121,121,178.106,928482,ns3::ThompsonSamplingWifiManager,D
407456,1,1,19,3,35.3583,0.00011936,1.30433,69.1733,1087893216,1682959064,711972,1101413,1.01186,1.01186,121,121,84.9811,928643,ns3::ThompsonSamplingWifiManager,E
407456,2,1,19,3,32.3085,0.000222589,1.25618,72.4415,1139220264,1682959064,745563,1101413,1.01427,1.01427,120.995,120.995,165.954,936563,ns3::ThompsonSamplingWifiManager,E
407456,1,1,21,2,25.342,7.98674e-05,1.14983,79.8918,1256463704,1682959064,822293,1101413,1.0119,1.0119,121,121,65.6743,945498,ns3::ThompsonSamplingWifiManager,D
