rngRun,nStations,distance,linksNumber,loss,jitter,latency,throughput
407458,8,1,2,29.4656,0.00143882,0.486808,91.6947
407458,10,1,1,33.9535,0.00171221,0.423097,85.8604
407458,8,1,3,29.7799,0.00143743,0.485191,91.2861
407458,9,1,2,29.8538,0.00149953,0.361863,91.1904
407458,11,1,1,38.8539,0.00185677,0.395951,79.4901
407458,10,1,2,36.1971,0.0016828,0.413912,82.9438
407458,9,1,3,32.4997,0.00156037,0.44451,87.7507
407458,12,1,1,41.9717,0.00200395,0.378722,75.4373
407458,10,1,3,36.3106,0.00167941,0.419509,82.7962
407458,11,1,2,39.8056,0.00182383,0.387606,78.2529
407458,13,1,1,44.0589,0.00218554,0.375498,72.7234
407458,12,1,2,42.3451,0.00200186,0.380308,74.9518
407458,14,1,1,46.1657,0.00236608,0.371948,69.9853
407458,11,1,3,40.2766,0.00182337,0.39103,77.6406
407458,14,1,2,45.4257,0.00236326,0.374077,70.9473
407458,12,1,3,42.6079,0.00200314,0.378667,74.6102
407458,15,1,1,47.7438,0.00254576,0.371195,67.9333
407458,13,1,3,44.5695,0.00218328,0.37637,72.0597
407458,14,1,3,47.1544,0.00236375,0.375232,68.6999
407458,15,1,2,48.3097,0.00254429,0.37292,67.1976
407458,15,1,3,48.2774,0.00254546,0.376594,67.2396
