rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec,channelSwitchDelay
3,1,1,1,3,50.4394,0.000220255,1.42849,54.0256,849658152,1714380856,556059,1121977,1.01259,1.01259,121,121,122.474,794327,ns3::ThompsonSamplingWifiManager,3,0,32,128,85
3,2,1,1,3,50.5724,0.000221569,1.43034,53.8966,847376848,1714380856,554566,1121977,1.04374,1.04374,120.995,120.995,122.874,793215,ns3::ThompsonSamplingWifiManager,3,0,32,128,85
3,3,1,1,3,4.0467,1.60728e-05,0.123938,104.59,1645005072,1714380856,1076574,1121977,1.00337,1.00337,121,121,17.3036,133428,ns3::ThompsonSamplingWifiManager,3,0,32,128,85
3,4,1,1,3,5.4494,1.94238e-05,0.186379,103.066,1620957408,1714380856,1060836,1121977,1.00958,1.00958,121,121,20.6054,197718,ns3::ThompsonSamplingWifiManager,3,0,32,128,85
3,1,1,1,3,50.5051,0.000221249,1.44238,53.9551,848530488,1714380856,555321,1121977,1.01259,1.01259,120.997,120.997,122.864,800984,ns3::ThompsonSamplingWifiManager,3,0,32,128,90
3,2,1,1,3,50.2048,0.000218383,1.42822,54.2965,853679848,1714380856,558691,1121977,1.04642,1.04642,121,121,122.008,797932,ns3::ThompsonSamplingWifiManager,3,0,32,128,90
3,3,1,1,3,4.04607,1.60884e-05,0.123045,104.59,1645015768,1714380856,1076581,1121977,1.00338,1.00338,121,121,17.3204,132468,ns3::ThompsonSamplingWifiManager,3,0,32,128,90
3,4,1,1,3,5.64192,1.97555e-05,0.198264,102.856,1617656928,1714380856,1058676,1121977,1.00969,1.00969,121,121,20.9146,209898,ns3::ThompsonSamplingWifiManager,3,0,32,128,90
3,1,1,1,3,50.0791,0.000217323,1.42682,54.4215,855834328,1714380856,560101,1121977,1.01547,1.01547,120.996,120.996,121.722,799166,ns3::ThompsonSamplingWifiManager,3,0,32,128,95
3,2,1,1,3,50.587,0.000221289,1.4258,53.8754,847126256,1714380856,554402,1121977,1.03693,1.03693,121,121,122.683,790469,ns3::ThompsonSamplingWifiManager,3,0,32,128,95
3,3,1,1,3,4.05267,1.60972e-05,0.123193,104.583,1644902696,1714380856,1076507,1121977,1.00338,1.00338,121,121,17.3288,132618,ns3::ThompsonSamplingWifiManager,3,0,32,128,95
3,4,1,1,3,5.93042,2.03953e-05,0.212895,102.542,1612710792,1714380856,1055439,1121977,1.00981,1.00981,121,121,21.526,224697,ns3::ThompsonSamplingWifiManager,3,0,32,128,95
3,1,1,1,3,50.5615,0.000221311,1.43015,53.8928,847564792,1714380856,554689,1121977,1.01357,1.01357,121,121,122.759,793288,ns3::ThompsonSamplingWifiManager,3,0,32,128,100
3,2,1,1,3,50.2545,0.00021881,1.42841,54.246,852827224,1714380856,558133,1121977,1.05407,1.05407,120.999,120.999,122.125,797242,ns3::ThompsonSamplingWifiManager,3,0,32,128,100
3,3,1,1,3,4.04144,1.60662e-05,0.123456,104.595,1645095224,1714380856,1076633,1121977,1.00339,1.00339,121,121,17.2973,132917,ns3::ThompsonSamplingWifiManager,3,0,32,128,100
3,4,1,1,3,6.10859,2.08878e-05,0.222093,102.348,1609656320,1714380856,1053440,1121977,1.01044,1.01044,121,121,22.004,233962,ns3::ThompsonSamplingWifiManager,3,0,32,128,100
3,1,1,1,3,50.1812,0.00021836,1.42613,54.3069,854083240,1714380856,558955,1121977,1.01265,1.01265,121,121,122.053,797145,ns3::ThompsonSamplingWifiManager,3,0,32,128,105
3,2,1,1,3,50.6821,0.000222607,1.4426,53.7796,845497408,1714380856,553336,1121977,1.05012,1.05012,120.996,120.996,123.176,798240,ns3::ThompsonSamplingWifiManager,3,0,32,128,105
3,3,1,1,3,4.05071,1.60959e-05,0.123121,104.585,1644936312,1714380856,1076529,1121977,1.00339,1.00339,121,121,17.3277,132543,ns3::ThompsonSamplingWifiManager,3,0,32,128,105
3,4,1,1,3,6.16875,2.10729e-05,0.225169,102.283,1608624920,1714380856,1052765,1121977,1.01065,1.01065,121,121,22.1848,237050,ns3::ThompsonSamplingWifiManager,3,0,32,128,105
3,1,1,1,3,50.4768,0.000220696,1.42307,53.9861,849016392,1714380856,555639,1121977,1.01265,1.01265,120.997,120.997,122.627,790713,ns3::ThompsonSamplingWifiManager,3,0,32,128,110
3,2,1,1,3,50.4236,0.00022001,1.43887,54.059,849928608,1714380856,556236,1121977,1.04879,1.04879,121,121,122.377,800351,ns3::ThompsonSamplingWifiManager,3,0,32,128,110
3,3,1,1,3,4.05008,1.60886e-05,0.123501,104.586,1644947008,1714380856,1076536,1121977,1.0034,1.0034,121,121,17.3199,132954,ns3::ThompsonSamplingWifiManager,3,0,32,128,110
3,4,1,1,3,6.40468,2.16206e-05,0.245859,102.026,1604580304,1714380856,1050118,1121977,1.01065,1.01065,121,121,22.7042,258181,ns3::ThompsonSamplingWifiManager,3,0,32,128,110
3,1,1,1,3,63.2052,0.000369873,1.80622,40.1135,630802712,1714380856,412829,1121977,1.0147,1.0147,120.99,120.99,152.694,745662,ns3::ThompsonSamplingWifiManager,3,0,32,128,115
3,2,1,1,3,64.356,0.000388244,1.84567,38.8635,611074704,1714380856,399918,1121977,1.03819,1.03819,121,121,155.265,738116,ns3::ThompsonSamplingWifiManager,3,0,32,128,115
3,3,1,1,3,4.04732,1.60744e-05,0.123763,104.589,1644994376,1714380856,1076567,1121977,1.0034,1.0034,121,121,17.3051,133239,ns3::ThompsonSamplingWifiManager,3,0,32,128,115
3,4,1,1,3,65.025,0.000399988,1.8691,38.1385,599605536,1714380856,392412,1121977,1.05169,1.05169,120.999,120.999,156.96,733456,ns3::ThompsonSamplingWifiManager,3,0,32,128,115
3,1,1,1,3,63.2491,0.000371004,1.80849,40.0638,630050936,1714380856,412337,1121977,1.0147,1.0147,120.996,120.996,152.978,745707,ns3::ThompsonSamplingWifiManager,3,0,32,128,120
3,2,1,1,3,64.8898,0.000397735,1.8616,38.2883,601921984,1714380856,393928,1121977,1.03817,1.03817,120.978,120.978,156.678,733335,ns3::ThompsonSamplingWifiManager,3,0,32,128,120
3,3,1,1,3,4.04572,1.60729e-05,0.123672,104.591,1645021880,1714380856,1076585,1121977,1.00341,1.00341,121,121,17.3039,133143,ns3::ThompsonSamplingWifiManager,3,0,32,128,120
3,4,1,1,3,64.8246,0.000396715,1.86002,38.3568,603040480,1714380856,394660,1121977,1.05167,1.05167,121,121,156.567,734074,ns3::ThompsonSamplingWifiManager,3,0,32,128,120
3,1,1,1,3,63.8923,0.000380843,1.83081,39.3613,619023360,1714380856,405120,1121977,1.0147,1.0147,121,121,154.287,741698,ns3::ThompsonSamplingWifiManager,3,0,32,128,125
3,2,1,1,3,64.579,0.000392207,1.85383,38.626,607250120,1714380856,397415,1121977,1.05179,1.05179,120.995,120.995,155.869,736738,ns3::ThompsonSamplingWifiManager,3,0,32,128,125
3,3,1,1,3,4.05507,1.60879e-05,0.124521,104.581,1644861440,1714380856,1076480,1121977,1.00341,1.00341,121,121,17.3183,134044,ns3::ThompsonSamplingWifiManager,3,0,32,128,125
3,4,1,1,3,64.7946,0.000395333,1.85792,38.3904,603553888,1714380856,394996,1121977,1.04536,1.04536,120.991,120.991,156.154,733873,ns3::ThompsonSamplingWifiManager,3,0,32,128,125
1,1,1,1,3,42.9414,0.000164754,1.36205,62.2096,978201152,1714380856,640184,1121977,1.03317,1.03317,121,121,105.473,871965,ns3::ThompsonSamplingWifiManager,3,0,128,128,10
1,2,1,1,3,28.6449,9.17046e-05,1.16102,77.7897,1223298464,1714380856,800588,1121977,1.02238,1.02238,121,121,73.4175,929501,ns3::ThompsonSamplingWifiManager,3,0,128,128,10
1,3,1,1,3,37.9356,0.000135372,1.26992,67.6599,1064019744,1714380856,696348,1121977,1.01414,1.01414,120.994,120.994,94.2656,884306,ns3::ThompsonSamplingWifiManager,3,0,128,128,10
1,4,1,1,3,4.64484,1.74091e-05,0.145908,103.944,1634750664,1714380856,1069863,1121977,1.01053,1.01053,121,121,18.6253,156102,ns3::ThompsonSamplingWifiManager,3,0,128,128,10
1,1,1,1,3,42.3101,0.00016155,1.34778,62.8949,989023976,1714380856,647267,1121977,1.02132,1.02132,120.994,120.994,104.566,872374,ns3::ThompsonSamplingWifiManager,3,0,128,128,5
1,2,1,1,3,29.0133,9.24697e-05,1.16692,77.3881,1216981712,1714380856,796454,1121977,1.02247,1.02247,121,121,73.6478,929402,ns3::ThompsonSamplingWifiManager,3,0,128,128,5
1,3,1,1,3,37.7707,0.00013453,1.2962,67.8353,1066846544,1714380856,698198,1121977,1.01245,1.01245,121,121,93.9282,905001,ns3::ThompsonSamplingWifiManager,3,0,128,128,5
1,4,1,1,3,4.68058,1.748e-05,0.146174,103.905,1634137936,1714380856,1069462,1121977,1.0106,1.0106,121,121,18.6942,156327,ns3::ThompsonSamplingWifiManager,3,0,128,128,5
1,1,1,1,3,43.9692,0.00017149,1.37045,61.0857,960581784,1714380856,628653,1121977,1.01886,1.01886,120.992,120.992,107.807,861538,ns3::ThompsonSamplingWifiManager,3,0,128,128,15
1,2,1,1,3,25.6972,7.93884e-05,0.978913,81.0061,1273832480,1714380856,833660,1121977,1.02661,1.02661,121,121,66.1828,816081,ns3::ThompsonSamplingWifiManager,3,0,128,128,15
1,3,1,1,3,40.0263,0.000147405,1.31355,65.3775,1028177448,1714380856,672891,1121977,1.01414,1.01414,121,121,99.1877,883879,ns3::ThompsonSamplingWifiManager,3,0,128,128,15
1,4,1,1,3,4.5984,1.73609e-05,0.147353,103.994,1635546752,1714380856,1070384,1121977,1.01053,1.01053,121,121,18.5828,157725,ns3::ThompsonSamplingWifiManager,3,0,128,128,15
1,1,1,1,3,43.4101,0.000168016,1.35982,61.6917,970166928,1714380856,634926,1121977,1.01855,1.01855,120.999,120.999,106.677,863386,ns3::ThompsonSamplingWifiManager,3,0,128,128,20
1,2,1,1,3,27.2319,8.69367e-05,1.03859,79.3355,1247521848,1714380856,816441,1121977,1.03045,1.03045,121,121,70.9786,847944,ns3::ThompsonSamplingWifiManager,3,0,128,128,20
1,3,1,1,3,39.8452,0.000146241,1.32934,65.5749,1031282344,1714380856,674923,1121977,1.01414,1.01414,121,121,98.7014,897201,ns3::ThompsonSamplingWifiManager,3,0,128,128,20
1,4,1,1,3,4.63254,1.73879e-05,0.146423,103.957,1634961528,1714380856,1070001,1121977,1.01053,1.01053,121,121,18.6051,156673,ns3::ThompsonSamplingWifiManager,3,0,128,128,20
1,1,1,1,3,45.9279,0.000185234,1.3796,58.9527,927002456,1714380856,606677,1121977,1.02898,1.02898,120.997,120.997,112.377,836971,ns3::ThompsonSamplingWifiManager,3,0,128,128,25
1,2,1,1,3,25.7075,7.99615e-05,1.13728,80.9909,1273656760,1714380856,833545,1121977,1.02074,1.02074,121,121,66.6514,947974,ns3::ThompsonSamplingWifiManager,3,0,128,128,25
