rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec,channelSwitchDelay
1,1,1,1,3,41.3186,0.0001548,1.35238,63.9716,1006022976,1714380856,658392,1121977,1.0195,1.0195,121,121,101.919,890396,ns3::ThompsonSamplingWifiManager,3,0,32,128,55
1,2,1,1,3,49.5911,0.000177781,1.34689,54.9519,864200128,1714380856,565576,1121977,1.0104,1.0104,120.994,120.994,100.549,761769,ns3::ThompsonSamplingWifiManager,3,0,32,128,55
1,3,1,1,3,14.1139,3.6954e-05,0.821158,93.625,1472414416,1714380856,963622,1121977,1.01456,1.01456,121,121,35.6096,791286,ns3::ThompsonSamplingWifiManager,3,0,32,128,55
1,4,1,1,3,4.98664,1.82288e-05,0.163573,103.571,1628890784,1714380856,1066028,1121977,1.01035,1.01035,121,121,19.4324,174374,ns3::ThompsonSamplingWifiManager,3,0,32,128,55
1,1,1,1,3,41.1696,0.000153955,1.33877,64.1345,1008577792,1714380856,660064,1121977,1.02017,1.02017,121,121,101.62,883671,ns3::ThompsonSamplingWifiManager,3,0,32,128,60
1,2,1,1,3,50.4379,0.000181576,1.37309,54.0263,849682600,1714380856,556075,1121977,1.01048,1.01048,121,121,100.97,763538,ns3::ThompsonSamplingWifiManager,3,0,32,128,60
1,3,1,1,3,13.2643,3.52501e-05,0.72058,94.5509,1486980840,1714380856,973155,1121977,1.01418,1.01418,121,121,34.3038,701236,ns3::ThompsonSamplingWifiManager,3,0,32,128,60
1,4,1,1,3,5.37738,1.92762e-05,0.181993,103.145,1622192032,1714380856,1061644,1121977,1.01035,1.01035,121,121,20.4644,193212,ns3::ThompsonSamplingWifiManager,3,0,32,128,60
1,1,1,1,3,41.2042,0.000154367,1.33673,64.1058,1007983400,1714380856,659675,1121977,1.03722,1.03722,121,121,101.832,881804,ns3::ThompsonSamplingWifiManager,3,0,32,128,65
1,2,1,1,3,51.4249,0.000186736,1.39615,52.9502,832761528,1714380856,545001,1121977,1.01061,1.01061,121,121,101.771,760905,ns3::ThompsonSamplingWifiManager,3,0,32,128,65
