rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager
407456,1,1,33,2,69.7325,0.000384641,1.86966,38.4434,604605152,1997539120,395684,1307290,1.01133,1.01133,121,121,152.196,739796,ns3::IdealWifiManager
407456,2,1,33,2,51.1473,0.000182134,1.34357,62.0516,975852616,1997539120,638647,1307290,1.01654,1.01654,121,121,116.319,858064,ns3::IdealWifiManager
407456,1,1,33,3,69.7535,0.000384069,1.87056,38.4161,604184952,1997539120,395409,1307290,1.00953,1.00953,121,121,151.864,739637,ns3::IdealWifiManager
407456,2,1,33,3,51.2948,0.000183252,1.34692,61.8605,972905104,1997539120,636718,1307290,1.00948,1.00948,121,121,116.68,857610,ns3::IdealWifiManager
407456,1,1,35,2,69.7265,0.000384588,1.86948,38.4511,604725864,1997539120,395763,1307290,1.01133,1.01133,121,121,152.206,739869,ns3::IdealWifiManager
407456,2,1,35,2,51.1183,0.00018185,1.34283,62.0884,976430200,1997539120,639025,1307290,1.01661,1.01661,121,121,116.207,858101,ns3::IdealWifiManager
407456,1,1,37,1,76.9627,0.00059806,2.20713,29.2597,460178592,1997539120,301164,1307290,1.00959,1.00959,121,121,180.114,664708,ns3::IdealWifiManager
407456,2,1,37,1,76.8149,0.000592448,2.19663,29.4587,463130688,1997539120,303096,1307290,1.02905,1.02905,120.974,120.974,179.568,665789,ns3::IdealWifiManager
407456,1,1,35,3,69.6923,0.000385584,1.86814,38.4943,605407352,1997539120,396209,1307290,1.01106,1.01106,121,121,152.772,740173,ns3::IdealWifiManager
407456,2,1,35,3,51.279,0.000183144,1.34653,61.8807,973221400,1997539120,636925,1307290,1.00948,1.00948,121,121,116.649,857641,ns3::IdealWifiManager
407456,1,1,39,1,77.0031,0.000604053,2.21046,29.2096,459371808,1997539120,300636,1307290,1.00959,1.00959,120.995,120.995,181.599,664543,ns3::IdealWifiManager
407456,2,1,39,1,76.904,0.000599801,2.20187,29.3393,461352096,1997539120,301932,1307290,1.02905,1.02905,120.999,120.999,181.098,664814,ns3::IdealWifiManager
407456,1,1,37,2,69.7186,0.000384574,1.86911,38.4606,604883248,1997539120,395866,1307290,1.00979,1.00979,121,121,152.239,739919,ns3::IdealWifiManager
407456,2,1,37,2,51.0863,0.000182144,1.34209,62.1291,977070432,1997539120,639444,1307290,1.01662,1.01662,121,121,116.471,858191,ns3::IdealWifiManager
407456,1,1,37,3,69.8213,0.000394568,1.87331,38.3306,602831144,1997539120,394523,1307290,1.011,1.011,121,121,155.666,739064,ns3::IdealWifiManager
407456,2,1,37,3,51.2212,0.000183097,1.34532,61.9542,974376568,1997539120,637681,1307290,1.00958,1.00958,121,121,116.757,857883,ns3::IdealWifiManager
