rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,dataRate
407456,2,1,0,1,31.5865,0.000216168,1.4705,54.7393,860844640,1258295776,563380,823492,1.0058,1.0058,120.988,120.988,121.784,828453,ns3::ThompsonSamplingWifiManager,A,80
407456,1,1,0,2,0.00680034,0.000104897,0.00115329,69.9999,1100928584,1101003456,720503,720552,1.008,1.008,121,121,75.5783,830.951,ns3::ThompsonSamplingWifiManager,B,70
407456,2,1,0,2,0.00693912,9.51043e-05,0.000998376,69.9999,1100927056,1101003456,720502,720552,1.00827,1.00827,121,121,68.5227,719.332,ns3::ThompsonSamplingWifiManager,B,70
407456,1,1,0,3,0.00582886,0.000103615,0.00106461,70,1100939280,1101003456,720510,720552,1.00697,1.00697,121,121,74.6553,767.06,ns3::ThompsonSamplingWifiManager,D,70
407456,2,1,0,3,0.0116577,9.28045e-05,0.000953367,70,1100875104,1101003456,720468,720552,1.01409,1.01409,121,121,66.8626,686.87,ns3::ThompsonSamplingWifiManager,D,70
407456,1,1,0,2,0.00740748,7.49878e-05,0.00151075,79.9997,1258202568,1258295776,823431,823492,1.008,1.008,121,121,61.7472,1244,ns3::ThompsonSamplingWifiManager,B,80
407456,2,1,0,2,0.00680031,6.97399e-05,0.00136915,80.0004,1258210208,1258295776,823436,823492,1.00827,1.00827,121,121,57.4263,1127.41,ns3::ThompsonSamplingWifiManager,B,80
407456,1,1,0,1,38.1433,0.000206999,1.54109,55.6869,875631096,1415580456,573057,926427,1.03089,1.03089,120.997,120.997,118.622,883131,ns3::ThompsonSamplingWifiManager,A,90
407456,2,1,0,1,39.2487,0.000214602,1.55875,54.6789,859982848,1415580456,562816,926427,1.0058,1.0058,121,121,120.781,877287,ns3::ThompsonSamplingWifiManager,A,90
407456,1,1,0,3,0.00619314,7.2752e-05,0.00132715,80.0001,1258217848,1258295776,823441,823492,1.00712,1.00712,121,121,59.9069,1092.83,ns3::ThompsonSamplingWifiManager,D,80
407456,2,1,0,3,0.0117791,6.75321e-05,0.00124368,80.0005,1258147560,1258295776,823395,823492,1.0143,1.0143,121,121,55.6055,1024.04,ns3::ThompsonSamplingWifiManager,D,80
