rngRun,flow,nStations,distance,linksNumber,loss,jitter,latency,throughput,rxBytes,txBytes,rxPackets,txPackets,timeFirstRxPacket,timeFirstTxPacket,timeLastRxPacket,timeLastTxPacket,jitterSum,delaySum,rateAdaptationManager,scenario,MLOn,paddingDelayUsec,transitionDelayUsec
1,4,1,1,3,4.60116,1.73186e-05,0.146534,103.993,1635499384,1714380856,1070353,1121977,1.01264,1.01264,121,121,18.537,156843,ns3::ThompsonSamplingWifiManager,3,0,64,32
1,1,1,1,3,46.2724,0.000187797,1.39478,58.5794,921095208,1714380856,602811,1121977,1.03623,1.03623,121,121,113.206,840786,ns3::ThompsonSamplingWifiManager,3,0,64,64
1,2,1,1,3,23.2656,7.14502e-05,1.01169,83.646,1315519376,1714380856,860942,1121977,1.01074,1.01074,121,121,61.5144,871008,ns3::ThompsonSamplingWifiManager,3,0,64,64
1,3,1,1,3,38.8234,0.000140721,1.31145,66.6896,1048799336,1714380856,686387,1121977,1.01303,1.01303,120.997,120.997,96.5887,900159,ns3::ThompsonSamplingWifiManager,3,0,64,64
1,4,1,1,3,4.92702,1.81646e-05,0.169974,103.646,1629913016,1714380856,1066697,1121977,1.02151,1.02151,121,121,19.3762,181310,ns3::ThompsonSamplingWifiManager,3,0,64,64
1,1,1,1,3,50.4288,0.000220282,1.42563,54.0422,849839984,1714380856,556178,1121977,1.02396,1.02396,121,121,122.516,792903,ns3::ThompsonSamplingWifiManager,3,0,64,128
1,2,1,1,3,50.4847,0.000220659,1.44433,53.9981,848880400,1714380856,555550,1121977,1.05548,1.05548,120.994,120.994,122.587,802396,ns3::ThompsonSamplingWifiManager,3,0,64,128
1,3,1,1,3,4.06595,1.61203e-05,0.123888,104.573,1644675024,1714380856,1076358,1121977,1.00831,1.00831,121,121,17.3512,133347,ns3::ThompsonSamplingWifiManager,3,0,64,128
1,4,1,1,3,6.09709,2.08634e-05,0.221797,102.361,1609853432,1714380856,1053569,1121977,1.01097,1.01097,121,121,21.9811,233679,ns3::ThompsonSamplingWifiManager,3,0,64,128
1,1,1,1,3,63.7263,0.000378437,1.82348,39.5428,621870024,1714380856,406983,1121977,1.01634,1.01634,121,121,154.017,742125,ns3::ThompsonSamplingWifiManager,3,0,64,256
1,2,1,1,3,64.6552,0.000394031,1.85758,38.549,605943680,1714380856,396560,1121977,1.07264,1.07264,120.998,120.998,156.256,736644,ns3::ThompsonSamplingWifiManager,3,0,64,256
1,3,1,1,3,4.054,1.60921e-05,0.123822,104.586,1644879776,1714380856,1076492,1121977,1.00884,1.00884,121,121,17.3231,133294,ns3::ThompsonSamplingWifiManager,3,0,64,256
1,4,1,1,3,64.6377,0.000392948,1.85423,38.5589,606244696,1714380856,396757,1121977,1.03943,1.03943,120.993,120.993,155.905,735677,ns3::ThompsonSamplingWifiManager,3,0,64,256
1,1,1,1,3,43.0243,0.000165463,1.33208,62.1165,976780112,1714380856,639254,1121977,1.01495,1.01495,120.987,120.987,105.773,851535,ns3::ThompsonSamplingWifiManager,3,0,128,16
1,2,1,1,3,28.5813,9.16692e-05,1.16678,77.856,1224387928,1714380856,801301,1121977,1.01769,1.01769,121,121,73.4546,934941,ns3::ThompsonSamplingWifiManager,3,0,128,16
1,3,1,1,3,38.4478,0.000138295,1.30787,67.0977,1055239856,1714380856,690602,1121977,1.01072,1.01072,120.998,120.998,95.5068,903221,ns3::ThompsonSamplingWifiManager,3,0,128,16
1,4,1,1,3,4.65366,1.7426e-05,0.144139,103.935,1634599392,1714380856,1069764,1121977,1.01189,1.01189,121,121,18.6417,154195,ns3::ThompsonSamplingWifiManager,3,0,128,16
1,1,1,1,3,43.3881,0.000167843,1.43771,61.7266,970542816,1714380856,635172,1121977,1.03659,1.03659,120.995,120.995,106.609,913192,ns3::ThompsonSamplingWifiManager,3,0,128,32
1,2,1,1,3,27.7393,8.8014e-05,1.11261,78.7692,1238822944,1714380856,810748,1121977,1.01054,1.01054,121,121,71.3571,902050,ns3::ThompsonSamplingWifiManager,3,0,128,32
1,3,1,1,3,39.5607,0.000144732,1.35743,65.8846,1036159720,1714380856,678115,1121977,1.01315,1.01315,121,121,98.1445,920496,ns3::ThompsonSamplingWifiManager,3,0,128,32
1,4,1,1,3,4.68147,1.74873e-05,0.159162,103.915,1634122656,1714380856,1069452,1121977,1.02318,1.02318,121,121,18.7018,170216,ns3::ThompsonSamplingWifiManager,3,0,128,32
1,1,1,1,3,46.5966,0.000190302,1.40036,58.2283,915537872,1714380856,599174,1121977,1.03835,1.03835,120.997,120.997,114.024,839060,ns3::ThompsonSamplingWifiManager,3,0,128,64
1,2,1,1,3,23.3499,7.14634e-05,1.03975,83.554,1314073888,1714380856,859996,1121977,1.01068,1.01068,121,121,61.4582,894185,ns3::ThompsonSamplingWifiManager,3,0,128,64
